0,22,0
1,22,1
2,22,2
3,22,3
4,22,4
5,22,5
6,21,3
7,22,8
8,22,9
9,20,3
10,22,10
11,22,11
12,22,16
13,21,9
14,22,17
15,22,20
16,22,21
17,22,22
18,22,23
19,22,24
20,22,25
21,22,26
22,22,27
23,22,28
24,22,29
25,22,30
26,22,31
27,22,32
28,22,33
29,22,34
30,22,35
31,22,36
32,3,1
33,8,1
34,22,37
35,16,1
36,22,38
37,16,2
38,17,6
39,7,1
40,13,1
41,13,2
42,13,3
43,16,4
44,7,2
45,10,1
46,6,2
47,16,5
48,10,2
49,11,1
50,12,12
51,12,13
52,12,14
53,12,15
54,13,192
55,13,193
56,14,388
57,14,389
58,11,49
59,14,390
60,19,5
61,15,3
62,17,7
63,8,7
64,11,50
65,9,13
66,10,48
67,10,49
68,10,50
69,10,51
70,11,51
71,10,52
72,9,27
73,7,7
74,12,212
75,11,107
76,10,64
77,10,65
78,9,33
79,10,68
80,10,69
81,12,213
82,10,70
83,9,36
84,8,19
85,12,284
86,12,285
87,9,37
88,14,391
89,8,20
90,12,286
91,17,9184
92,16,4593
93,17,9185
94,22,39
95,13,575
96,21,24
97,4,4
98,7,11
99,6,6
100,5,10
101,3,3
102,6,7
103,6,22
104,5,16
105,4,9
106,10,84
107,7,46
108,5,17
109,6,40
110,4,11
111,4,12
112,6,41
113,10,85
114,5,21
115,4,13
116,4,14
117,5,30
118,7,47
119,6,62
120,10,86
121,6,63
122,10,87
123,22,50
124,19,7
125,22,51
126,14,1149
127,22,52
128,22,53
129,22,54
130,22,55
131,22,294016
132,22,294017
133,22,294018
134,22,294019
135,22,294020
136,22,294021
137,22,294022
138,22,294023
139,22,294024
140,22,294025
141,22,294026
142,22,294027
143,22,294028
144,22,294029
145,22,294030
146,22,294031
147,22,294032
148,22,294033
149,22,294034
150,22,294035
151,22,294036
152,22,294037
153,22,294038
154,22,294039
155,22,294040
156,22,294041
157,22,294042
158,22,294043
159,22,294044
160,22,294045
161,22,294046
162,22,294047
163,22,294048
164,22,294049
165,22,294050
166,22,294051
167,22,294052
168,22,294053
169,22,294054
170,22,294055
171,22,294056
172,22,294057
173,22,294058
174,22,294059
175,22,294060
176,22,294061
177,22,294062
178,22,294063
179,22,294064
180,22,294065
181,22,294066
182,22,294067
183,22,294068
184,22,294069
185,22,294070
186,22,294071
187,22,294072
188,22,294073
189,22,294074
190,22,294075
191,22,294076
192,22,294077
193,22,294078
194,22,294079
195,22,294080
196,22,294081
197,22,294082
198,22,294083
199,22,294084
200,22,294085
201,22,294086
202,22,294087
203,22,294088
204,22,294089
205,22,294090
206,22,294091
207,22,294092
208,22,294093
209,22,294094
210,22,294095
211,22,294096
212,22,294097
213,22,294098
214,22,294099
215,22,294100
216,22,294101
217,22,294102
218,22,294103
219,22,294104
220,22,294105
221,22,294106
222,22,294107
223,22,294108
224,22,294109
225,22,294110
226,22,294111
227,22,294112
228,22,294113
229,22,294114
230,22,294115
231,22,294116
232,22,294117
233,22,294118
234,22,294119
235,22,294120
236,22,294121
237,22,294122
238,22,294123
239,22,294124
240,22,294125
241,22,294126
242,22,294127
243,22,294128
244,22,294129
245,22,294130
246,22,294131
247,21,147066
248,22,294134
249,21,147068
250,22,294135
251,22,294138
252,22,294139
253,21,147070
254,22,294142
255,22,294143
